-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  21.4858   Longitude 39.1925 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,RH2M,WS2M
2024,1,4,8,24.05,239.12,496.53,87.32,59.29,0.51
2024,1,4,9,26.36,432.35,633.13,125.76,53.13,1.52
2024,1,4,10,27.81,591.7,717.64,149.74,51.16,2.65
2024,1,4,11,28.82,684.97,763.79,154.55,49.36,3.31
2024,1,4,12,29.51,722.6,770.65,156.89,47.27,3.66
2024,1,4,13,29.88,676.08,734.39,166.2,45.76,3.78
2024,1,4,14,29.84,571.12,687.8,150.15,45.8,3.79
2024,1,4,15,29.4,403.9,578.17,129.89,47.13,3.74
2024,1,4,16,28.51,210.7,425.3,85.18,49.99,3.45
2024,1,4,17,26.5,32.45,50.85,25.96,60.54,2.09
2024,1,4,18,24.8,0.0,0.0,0.0,69.06,1.61
2024,1,4,19,24.17,0.0,0.0,0.0,71.96,1.33
2024,1,4,20,23.84,0.0,0.0,0.0,73.2,1.03
2024,1,4,21,23.88,0.0,0.0,0.0,72.18,0.86
2024,1,4,22,23.62,0.0,0.0,0.0,73.21,0.9
2024,1,4,23,23.1,0.0,0.0,0.0,76.15,1.02
2024,1,5,0,22.68,0.0,0.0,0.0,78.14,1.12
2024,1,5,1,22.46,0.0,0.0,0.0,78.89,1.3
2024,1,5,2,22.29,0.0,0.0,0.0,79.58,1.44
2024,1,5,3,22.17,0.0,0.0,0.0,80.28,1.58
2024,1,5,4,21.98,0.0,0.0,0.0,80.92,1.67
2024,1,5,5,21.82,0.0,0.0,0.0,81.16,1.75
2024,1,5,6,21.7,0.0,0.0,0.0,81.01,1.75
2024,1,5,7,22.58,43.5,66.3,33.82,76.37,2.04
2024,1,5,8,24.64,222.95,387.17,98.86,66.06,2.51
2024,1,5,9,26.39,416.52,575.19,134.64,60.58,1.84
2024,1,5,10,27.77,578.67,679.12,154.75,55.64,1.31
2024,1,5,11,29.01,672.55,697.19,181.16,50.19,1.62
2024,1,5,12,29.81,678.92,652.79,192.09,46.61,2.37
2024,1,5,13,30.17,564.28,598.56,167.65,44.52,3.05
2024,1,5,14,30.1,508.95,530.13,182.18,43.83,3.71
2024,1,5,15,29.54,377.55,467.75,155.47,44.81,4.17
2024,1,5,16,28.49,201.57,360.28,96.37,47.67,4.41
2024,1,5,17,26.65,30.85,38.55,28.2,54.85,3.96
2024,1,5,18,25.03,0.0,0.0,0.0,61.92,4.12
2024,1,5,19,24.29,0.0,0.0,0.0,65.55,4.38
2024,1,5,20,23.74,0.0,0.0,0.0,68.54,4.19
2024,1,5,21,23.24,0.0,0.0,0.0,70.81,3.84
2024,1,5,22,22.73,0.0,0.0,0.0,72.79,3.39
2024,1,5,23,22.25,0.0,0.0,0.0,74.39,3.01
2024,1,6,0,21.83,0.0,0.0,0.0,75.58,2.72
2024,1,6,1,21.47,0.0,0.0,0.0,76.39,2.5
2024,1,6,2,21.15,0.0,0.0,0.0,76.81,2.3
2024,1,6,3,20.87,0.0,0.0,0.0,77.09,2.13
2024,1,6,4,20.66,0.0,0.0,0.0,77.12,2.01
2024,1,6,5,20.54,0.0,0.0,0.0,76.94,1.93
2024,1,6,6,20.46,0.0,0.0,0.0,77.29,1.9
2024,1,6,7,21.57,48.0,126.09,32.28,73.28,2.36
2024,1,6,8,24.07,240.45,511.67,82.57,62.96,2.88
2024,1,6,9,26.53,434.15,660.31,116.15,54.37,2.54
2024,1,6,10,28.25,598.12,751.94,134.83,49.07,1.87
2024,1,6,11,29.37,702.78,807.95,136.1,45.32,1.58
2024,1,6,12,30.18,710.88,702.46,195.94,42.1,1.88
2024,1,6,13,30.64,682.75,739.95,164.14,40.11,2.3
2024,1,6,14,30.74,562.72,645.29,159.33,39.43,2.76
2024,1,6,15,30.4,401.42,566.24,133.43,40.01,2.97
2024,1,6,16,29.59,205.65,350.86,101.79,42.38,2.93
2024,1,6,17,27.29,33.85,47.77,30.37,54.87,2.24
2024,1,6,18,25.42,0.0,0.0,0.0,63.36,2.7
2024,1,6,19,24.67,0.0,0.0,0.0,69.1,3.29
2024,1,6,20,24.07,0.0,0.0,0.0,74.68,3.68
2024,1,6,21,23.64,0.0,0.0,0.0,78.44,3.57
2024,1,6,22,23.23,0.0,0.0,0.0,81.07,3.17
2024,1,6,23,22.81,0.0,0.0,0.0,83.03,2.67
2024,1,7,0,22.48,0.0,0.0,0.0,83.81,2.29
2024,1,7,1,22.23,0.0,0.0,0.0,83.35,2.05
2024,1,7,2,22.04,0.0,0.0,0.0,81.89,1.91
2024,1,7,3,21.93,0.0,0.0,0.0,79.28,1.84
2024,1,7,4,21.9,0.0,0.0,0.0,76.1,1.78
2024,1,7,5,21.96,0.0,0.0,0.0,71.64,1.71
2024,1,7,6,21.98,0.0,0.0,0.0,66.83,1.57
2024,1,7,7,22.84,45.17,96.73,32.4,62.94,1.32
2024,1,7,8,25.63,234.93,484.2,86.17,46.99,1.91
2024,1,7,9,28.2,426.25,615.59,126.86,40.21,1.16
2024,1,7,10,30.1,586.72,709.08,145.76,36.03,1.7
2024,1,7,11,31.15,686.53,745.3,154.41,34.21,2.71
2024,1,7,12,31.6,702.22,690.85,188.11,34.89,3.36
2024,1,7,13,31.67,659.95,647.45,195.55,36.77,3.71
2024,1,7,14,31.38,549.85,588.63,179.37,38.98,3.96
2024,1,7,15,30.66,389.98,505.64,142.91,42.33,4.06
2024,1,7,16,29.5,207.43,378.54,92.91,47.37,3.88
2024,1,7,17,27.69,34.12,46.51,29.01,56.27,2.82
2024,1,7,18,26.13,0.0,0.0,0.0,65.39,2.01
2024,1,7,19,25.45,0.0,0.0,0.0,69.68,1.66
2024,1,7,20,24.91,0.0,0.0,0.0,72.64,1.47
2024,1,7,21,24.46,0.0,0.0,0.0,74.39,1.37
2024,1,7,22,24.07,0.0,0.0,0.0,75.2,1.29
2024,1,7,23,23.8,0.0,0.0,0.0,73.83,1.25
2024,1,8,0,23.6,0.0,0.0,0.0,71.49,1.26
2024,1,8,1,23.41,0.0,0.0,0.0,68.67,1.26
2024,1,8,2,23.05,0.0,0.0,0.0,65.14,1.28
2024,1,8,3,22.65,0.0,0.0,0.0,60.95,1.51
2024,1,8,4,22.34,0.0,0.0,0.0,55.23,2.03
2024,1,8,5,22.06,0.0,0.0,0.0,50.94,2.69
2024,1,8,6,21.76,0.0,0.0,0.0,48.72,3.2
2024,1,8,7,22.42,45.05,94.93,33.24,44.89,3.91
2024,1,8,8,24.67,237.77,496.32,85.77,38.25,4.42
2024,1,8,9,28.36,432.65,633.21,125.36,32.07,2.93
2024,1,8,10,30.66,596.2,734.02,141.17,30.03,2.53
2024,1,8,11,31.62,699.92,785.83,147.99,29.05,2.57
2024,1,8,12,32.3,732.8,785.65,155.83,28.35,2.79
2024,1,8,13,32.63,694.22,767.11,154.27,28.38,3.13
2024,1,8,14,32.54,587.22,726.79,140.46,29.29,3.42
2024,1,8,15,32.01,422.45,630.29,122.68,31.2,3.58
2024,1,8,16,30.95,227.7,473.83,87.18,34.84,3.72
2024,1,8,17,28.58,39.25,85.8,29.52,45.17,3.25
2024,1,8,18,26.69,0.0,0.0,0.0,58.21,3.31
2024,1,8,19,25.81,0.0,0.0,0.0,67.46,2.67
2024,1,8,20,25.0,0.0,0.0,0.0,72.52,1.75
2024,1,8,21,24.62,0.0,0.0,0.0,71.29,1.24
2024,1,8,22,24.13,0.0,0.0,0.0,66.81,1.05
2024,1,8,23,23.52,0.0,0.0,0.0,62.34,1.39
2024,1,9,0,23.12,0.0,0.0,0.0,56.16,1.93
2024,1,9,1,22.74,0.0,0.0,0.0,49.82,2.36
2024,1,9,2,22.21,0.0,0.0,0.0,46.03,2.67
2024,1,9,3,21.74,0.0,0.0,0.0,43.75,2.82
2024,1,9,4,21.35,0.0,0.0,0.0,42.8,2.77
2024,1,9,5,21.1,0.0,0.0,0.0,42.2,2.54
2024,1,9,6,20.9,0.0,0.0,0.0,42.68,2.16
2024,1,9,7,21.95,47.2,116.38,33.2,39.32,2.32
2024,1,9,8,24.93,243.38,502.88,88.33,29.63,3.6
2024,1,9,9,27.62,442.73,654.24,125.69,27.15,1.97
2024,1,9,10,29.4,607.55,750.87,141.84,27.63,2.11
2024,1,9,11,30.63,712.83,802.35,147.39,26.01,2.41
2024,1,9,12,31.5,749.17,817.72,150.5,24.42,2.85
2024,1,9,13,31.9,709.78,806.12,145.69,23.75,3.41
2024,1,9,14,31.83,604.22,751.7,141.07,23.97,3.74
2024,1,9,15,31.3,435.9,659.5,121.04,25.16,3.72
2024,1,9,16,30.3,236.85,510.07,84.12,27.45,3.33
2024,1,9,17,27.45,42.05,95.49,30.49,38.2,1.85
2024,1,9,18,25.32,0.0,0.0,0.0,47.17,1.55
2024,1,9,19,24.73,0.0,0.0,0.0,51.73,1.37
2024,1,9,20,24.74,0.0,0.0,0.0,53.71,1.26
2024,1,9,21,24.61,0.0,0.0,0.0,55.73,1.13
2024,1,9,22,23.89,0.0,0.0,0.0,58.25,1.15
2024,1,9,23,23.04,0.0,0.0,0.0,60.06,1.23
2024,1,10,0,22.4,0.0,0.0,0.0,60.56,1.34
2024,1,10,1,22.09,0.0,0.0,0.0,59.85,1.57
2024,1,10,2,21.9,0.0,0.0,0.0,58.54,1.83
2024,1,10,3,21.75,0.0,0.0,0.0,56.92,2.06
2024,1,10,4,21.58,0.0,0.0,0.0,55.11,2.17
2024,1,10,5,21.4,0.0,0.0,0.0,53.3,2.17
2024,1,10,6,21.19,0.0,0.0,0.0,51.79,2.12
2024,1,10,7,22.34,44.2,87.36,33.64,47.3,2.11
2024,1,10,8,25.5,235.12,486.53,86.99,39.77,3.06
2024,1,10,9,27.88,427.55,620.61,125.92,43.37,2.81
2024,1,10,10,29.41,591.67,711.47,147.47,41.61,3.31
2024,1,10,11,30.47,694.65,756.1,161.09,40.53,4.03
2024,1,10,12,31.01,734.85,794.89,149.88,40.57,4.63
2024,1,10,13,31.13,675.92,725.41,159.31,41.55,4.93
2024,1,10,14,30.85,554.88,649.6,159.67,43.31,4.89
2024,1,10,15,30.31,395.35,551.04,132.1,45.58,4.6
2024,1,10,16,29.36,218.95,403.01,94.96,49.66,4.14
2024,1,10,17,27.8,39.33,65.47,31.97,56.81,2.91
2024,1,10,18,26.21,0.0,0.0,0.0,65.6,1.86
2024,1,10,19,25.47,0.0,0.0,0.0,71.1,1.54
2024,1,10,20,24.87,0.0,0.0,0.0,75.26,1.2
2024,1,10,21,24.54,0.0,0.0,0.0,77.43,0.93
2024,1,10,22,24.63,0.0,0.0,0.0,76.89,0.61
2024,1,10,23,24.46,0.0,0.0,0.0,77.07,0.24
2024,1,11,0,23.77,0.0,0.0,0.0,79.83,0.67
2024,1,11,1,23.01,0.0,0.0,0.0,83.16,0.95
2024,1,11,2,22.47,0.0,0.0,0.0,85.21,1.08
2024,1,11,3,22.1,0.0,0.0,0.0,86.18,1.22
2024,1,11,4,21.86,0.0,0.0,0.0,86.5,1.31
2024,1,11,5,21.67,0.0,0.0,0.0,86.69,1.4
2024,1,11,6,21.5,0.0,0.0,0.0,86.16,1.54
2024,1,11,7,22.56,41.95,57.43,33.91,78.37,2.18
2024,1,11,8,24.91,225.15,398.03,99.94,68.11,2.26
2024,1,11,9,26.88,415.35,538.34,147.48,59.43,0.69
2024,1,11,10,28.91,579.05,636.92,172.51,48.4,1.16
2024,1,11,11,30.2,663.38,675.53,173.31,43.82,2.47
2024,1,11,12,30.85,652.55,575.42,213.93,42.72,3.49
2024,1,11,13,31.01,653.62,570.15,223.5,43.06,4.08
2024,1,11,14,30.71,537.72,497.13,209.58,44.6,4.39
2024,1,11,15,29.92,381.0,416.65,175.24,47.97,4.55
2024,1,11,16,28.57,198.32,251.58,117.36,53.94,4.42
2024,1,11,17,26.96,36.75,22.48,33.52,62.27,4.07
2024,1,11,18,25.73,0.0,0.0,0.0,70.39,3.99
2024,1,11,19,25.09,0.0,0.0,0.0,74.65,3.89
2024,1,11,20,24.71,0.0,0.0,0.0,75.62,3.48
2024,1,11,21,24.33,0.0,0.0,0.0,75.14,2.94
2024,1,11,22,23.81,0.0,0.0,0.0,74.6,2.36
2024,1,11,23,23.33,0.0,0.0,0.0,74.21,2.13
2024,1,12,0,22.94,0.0,0.0,0.0,74.45,2.27
2024,1,12,1,22.67,0.0,0.0,0.0,74.82,2.6
2024,1,12,2,22.56,0.0,0.0,0.0,74.63,3.03
2024,1,12,3,22.43,0.0,0.0,0.0,74.35,3.29
2024,1,12,4,22.15,0.0,0.0,0.0,74.57,3.07
2024,1,12,5,21.77,0.0,0.0,0.0,75.31,2.67
2024,1,12,6,21.35,0.0,0.0,0.0,76.0,2.38
2024,1,12,7,21.95,45.65,99.6,32.81,72.04,2.97
2024,1,12,8,23.99,240.0,502.86,84.71,62.8,3.26
2024,1,12,9,25.64,440.75,662.94,120.78,55.97,2.77
2024,1,12,10,27.09,607.47,768.86,131.69,50.22,2.74
2024,1,12,11,28.35,714.35,816.3,138.18,45.47,3.42
2024,1,12,12,29.26,724.53,696.56,197.08,42.11,3.93
2024,1,12,13,29.73,688.85,686.45,193.3,40.45,4.27
2024,1,12,14,29.55,525.2,576.18,210.86,40.55,4.75
2024,1,12,15,28.8,381.1,451.89,187.36,42.23,5.04
2024,1,12,16,27.62,210.18,296.38,131.39,45.51,5.08
2024,1,12,17,26.07,39.12,28.41,39.75,50.44,4.9
2024,1,12,18,24.54,0.0,0.0,0.0,56.31,4.81
2024,1,12,19,23.66,0.0,0.0,0.0,60.49,4.73
2024,1,12,20,23.14,0.0,0.0,0.0,62.99,4.26
2024,1,12,21,22.68,0.0,0.0,0.0,64.66,3.51
2024,1,12,22,22.12,0.0,0.0,0.0,65.98,2.66
2024,1,12,23,21.52,0.0,0.0,0.0,66.79,2.07
2024,1,13,0,21.03,0.0,0.0,0.0,66.63,1.82
2024,1,13,1,20.7,0.0,0.0,0.0,65.78,1.76
2024,1,13,2,20.43,0.0,0.0,0.0,65.08,1.76
2024,1,13,3,20.23,0.0,0.0,0.0,64.53,1.75
2024,1,13,4,20.1,0.0,0.0,0.0,64.11,1.66
2024,1,13,5,20.05,0.0,0.0,0.0,63.73,1.53
2024,1,13,6,20.09,0.0,0.0,0.0,63.69,1.42
2024,1,13,7,21.29,43.8,63.86,36.12,59.68,1.34
2024,1,13,8,23.72,233.07,419.44,105.19,52.23,1.14
2024,1,13,9,26.26,435.3,620.99,131.68,47.13,0.61
2024,1,13,10,28.03,599.15,718.72,150.61,42.81,1.95
2024,1,13,11,29.14,706.03,757.41,163.28,40.45,3.08
2024,1,13,12,29.75,728.95,706.09,190.16,39.77,3.84
2024,1,13,13,29.97,664.8,649.56,189.9,39.83,4.32
2024,1,13,14,29.73,577.3,613.82,182.08,41.61,4.68
2024,1,13,15,28.99,412.23,513.95,152.22,45.49,4.78
2024,1,13,16,27.8,226.52,387.94,102.46,51.25,4.49
2024,1,13,17,26.28,42.97,54.65,34.15,58.51,3.66
2024,1,13,18,24.98,0.0,0.0,0.0,65.49,2.65
2024,1,13,19,24.24,0.0,0.0,0.0,70.06,1.87
2024,1,13,20,23.65,0.0,0.0,0.0,73.31,0.99
2024,1,13,21,23.54,0.0,0.0,0.0,74.17,0.49
2024,1,13,22,23.44,0.0,0.0,0.0,74.92,0.35
2024,1,13,23,22.61,0.0,0.0,0.0,79.08,0.87
2024,1,14,0,21.99,0.0,0.0,0.0,82.03,1.03
2024,1,14,1,21.61,0.0,0.0,0.0,83.58,1.14
2024,1,14,2,21.38,0.0,0.0,0.0,84.14,1.12
2024,1,14,3,21.25,0.0,0.0,0.0,84.0,1.03
2024,1,14,4,21.4,0.0,0.0,0.0,82.33,0.9
2024,1,14,5,21.56,0.0,0.0,0.0,80.59,0.81
2024,1,14,6,21.65,0.0,0.0,0.0,79.17,0.81
2024,1,14,7,22.51,43.33,70.65,33.76,73.78,1.37
2024,1,14,8,24.33,231.7,444.74,94.19,68.12,1.54
2024,1,14,9,26.37,427.95,588.57,137.69,62.2,1.84
2024,1,14,10,27.95,591.53,680.12,161.12,56.18,2.51
2024,1,14,11,29.19,697.33,714.0,182.28,52.08,3.24
2024,1,14,12,29.95,732.12,727.36,184.58,50.0,3.83
2024,1,14,13,30.27,572.83,608.09,154.92,49.65,4.32
2024,1,14,14,30.05,525.05,559.86,176.07,50.98,4.6
2024,1,14,15,29.34,386.3,502.2,145.21,53.53,4.55
2024,1,14,16,28.17,212.15,340.99,106.14,57.22,4.14
2024,1,14,17,26.68,43.55,65.88,35.84,63.33,3.38
2024,1,14,18,25.5,0.0,0.0,0.0,69.64,2.62
2024,1,14,19,24.84,0.0,0.0,0.0,73.39,2.08
2024,1,14,20,24.35,0.0,0.0,0.0,76.01,1.52
2024,1,14,21,24.06,0.0,0.0,0.0,77.41,1.3
2024,1,14,22,23.83,0.0,0.0,0.0,78.21,1.25
2024,1,14,23,23.54,0.0,0.0,0.0,78.97,1.31
2024,1,15,0,23.3,0.0,0.0,0.0,79.34,1.4
2024,1,15,1,23.08,0.0,0.0,0.0,79.43,1.5
2024,1,15,2,22.88,0.0,0.0,0.0,79.54,1.63
2024,1,15,3,22.69,0.0,0.0,0.0,79.7,1.85
2024,1,15,4,22.47,0.0,0.0,0.0,80.09,2.08
2024,1,15,5,22.25,0.0,0.0,0.0,80.45,2.17
2024,1,15,6,22.04,0.0,0.0,0.0,80.83,2.16
2024,1,15,7,22.7,43.97,83.17,33.1,76.85,3.04
2024,1,15,8,24.59,237.1,453.46,94.32,67.55,3.5
2024,1,15,9,26.19,427.4,608.92,132.64,60.89,3.32
2024,1,15,10,27.78,589.5,678.74,161.52,54.49,3.21
2024,1,15,11,29.04,702.83,732.32,182.11,48.98,3.37
2024,1,15,12,29.92,743.45,734.31,189.09,44.71,3.91
2024,1,15,13,30.35,715.42,768.89,160.29,42.38,4.57
2024,1,15,14,30.23,614.9,747.97,145.27,41.8,5.18
2024,1,15,15,29.42,450.4,657.13,140.26,43.25,5.59
2024,1,15,16,28.07,244.68,447.4,110.56,46.41,5.83
2024,1,15,17,26.31,49.95,77.96,45.41,51.07,5.92
2024,1,15,18,24.88,0.0,0.0,0.0,54.78,5.93
2024,1,15,19,24.1,0.0,0.0,0.0,56.64,5.7
2024,1,15,20,23.61,0.0,0.0,0.0,58.25,5.29
2024,1,15,21,23.19,0.0,0.0,0.0,59.92,4.92
2024,1,15,22,22.75,0.0,0.0,0.0,61.07,4.61
2024,1,15,23,22.31,0.0,0.0,0.0,61.22,4.36
2024,1,16,0,21.96,0.0,0.0,0.0,60.06,4.1
2024,1,16,1,21.63,0.0,0.0,0.0,58.39,3.85
2024,1,16,2,21.39,0.0,0.0,0.0,56.44,3.8
2024,1,16,3,21.21,0.0,0.0,0.0,54.83,3.85
2024,1,16,4,21.08,0.0,0.0,0.0,53.48,3.89
2024,1,16,5,20.96,0.0,0.0,0.0,52.35,3.81
2024,1,16,6,20.82,0.0,0.0,0.0,51.66,3.73
2024,1,16,7,21.83,43.85,81.87,40.28,47.9,4.5
2024,1,16,8,24.25,228.4,342.3,126.31,42.76,5.32
2024,1,16,9,26.52,419.77,499.41,192.04,40.18,4.88
2024,1,16,10,28.4,579.42,578.7,223.43,38.17,4.02
2024,1,16,11,29.93,689.8,638.44,235.6,36.4,3.79
2024,1,16,12,30.74,676.95,804.35,341.37,35.43,4.54
2024,1,16,13,30.79,630.58,400.96,327.01,35.91,5.62
2024,1,16,14,30.01,539.47,377.43,285.94,38.52,6.7
2024,1,16,15,28.58,383.02,271.37,255.47,42.9,7.43
2024,1,16,16,26.74,208.2,135.29,167.79,48.6,7.55
2024,1,16,17,25.01,45.8,19.86,45.36,54.17,7.01
2024,1,16,18,23.92,0.0,0.0,0.0,57.84,6.21
2024,1,16,19,23.36,0.0,0.0,0.0,59.62,5.55
2024,1,16,20,22.9,0.0,0.0,0.0,60.97,5.02
2024,1,16,21,22.46,0.0,0.0,0.0,62.33,4.58
2024,1,16,22,22.04,0.0,0.0,0.0,63.69,4.19
2024,1,16,23,21.61,0.0,0.0,0.0,64.94,3.79
2024,1,17,0,21.16,0.0,0.0,0.0,65.97,3.39
2024,1,17,1,20.73,0.0,0.0,0.0,66.61,3.1
2024,1,17,2,20.34,0.0,0.0,0.0,66.85,2.88
2024,1,17,3,20.01,0.0,0.0,0.0,66.91,2.72
2024,1,17,4,19.77,0.0,0.0,0.0,66.73,2.7
2024,1,17,5,19.66,0.0,0.0,0.0,66.32,2.85
2024,1,17,6,19.58,0.0,0.0,0.0,66.2,2.99
